gene	p	CHR	POS
ENSSSAG00000072559	2.52E-09	ssa13	110694032
ENSSSAG00000094998	0.00518343	ssa13	110916140
ENSSSAG00000089414	0.000182137	ssa13	112248797
ENSSSAG00000072395	1.31E-12	ssa13	112748094
ENSSSAG00000004861	1.67E-31	ssa13	113842268
ENSSSAG00000004348	0.00740711	ssa13	113842268
ENSSSAG00000045902	0.000103837	ssa14	3708176
ENSSSAG00000106268	0.0189625	ssa14	3719965
ENSSSAG00000046081	0.00277791	ssa14	3732736
ENSSSAG00000046119	0.0018673	ssa14	3801222
ENSSSAG00000083451	0.0252516	ssa14	4768440
ENSSSAG00000070030	1.74E-10	ssa14	5782618
ENSSSAG00000045853	0.00459263	ssa14	5885597
ENSSSAG00000049706	5.22E-15	ssa14	5972570
ENSSSAG00000059833	0.0109178	ssa14	8499885
ENSSSAG00000056917	0.000291514	ssa14	8588737
ENSSSAG00000073744	0.035192	ssa14	8643311
ENSSSAG00000068092	0.0328271	ssa14	8883945
ENSSSAG00000070611	0.000588742	ssa14	9154634
ENSSSAG00000004442	0.000620411	ssa14	9385692
ENSSSAG00000066274	1.27E-05	ssa14	9435389
ENSSSAG00000053710	0.0426559	ssa14	9730081
ENSSSAG00000069402	0.000514893	ssa14	10333001
ENSSSAG00000070890	0.00342725	ssa14	11479443
ENSSSAG00000069375	0.0320072	ssa14	11594021
ENSSSAG00000074067	0.00157254	ssa14	12286171
ENSSSAG00000064328	0.0225166	ssa14	12286171
ENSSSAG00000089869	0.049932	ssa14	12910589
ENSSSAG00000073672	0.000495749	ssa14	13129485
ENSSSAG00000120121	5.27E-17	ssa14	13138369
ENSSSAG00000073752	1.91E-05	ssa14	13399529
ENSSSAG00000076836	0.0470272	ssa14	13944211
ENSSSAG00000073352	0.0132813	ssa14	14117802
ENSSSAG00000075137	0.00117174	ssa14	14281861
ENSSSAG00000040265	2.73E-06	ssa14	14317402
ENSSSAG00000073798	8.98E-05	ssa14	14478763
ENSSSAG00000071725	5.05E-10	ssa14	14573473
ENSSSAG00000111977	0.00526172	ssa14	14706107
ENSSSAG00000044641	0.000119642	ssa14	14805719
ENSSSAG00000053718	0.0300914	ssa14	14824108
ENSSSAG00000044607	0.00138523	ssa14	14868842
ENSSSAG00000073685	6.68E-11	ssa14	14890033
ENSSSAG00000073183	1.17E-22	ssa14	15936816
ENSSSAG00000114496	0.00629413	ssa14	16236971
ENSSSAG00000044572	0.000193359	ssa14	16624116
ENSSSAG00000072113	8.20E-12	ssa14	16687433
ENSSSAG00000039142	0.0014144	ssa14	16800207
ENSSSAG00000081981	0.032691	ssa14	16957237
ENSSSAG00000063768	0.0444556	ssa14	18759403
ENSSSAG00000006698	0.000713677	ssa14	18826268
ENSSSAG00000007621	0.00493764	ssa14	18847002
ENSSSAG00000043515	3.39E-09	ssa14	18895521
ENSSSAG00000054684	0.0476344	ssa14	19083253
ENSSSAG00000054449	0.00201501	ssa14	20106965
ENSSSAG00000045765	2.05E-20	ssa14	20453320
ENSSSAG00000070059	0.0169676	ssa14	20680535
ENSSSAG00000005324	0.00212392	ssa14	22023161
ENSSSAG00000008380	0.0270055	ssa14	22319778
ENSSSAG00000069200	0.0295498	ssa14	23233809
ENSSSAG00000056462	2.96E-10	ssa14	23987519
ENSSSAG00000067461	0.000326761	ssa14	24079273
ENSSSAG00000115626	1.81E-31	ssa14	24089908
ENSSSAG00000054818	0.00457358	ssa14	24117219
ENSSSAG00000095973	0.0102683	ssa14	24117873
ENSSSAG00000066638	0.0109349	ssa14	24885560
ENSSSAG00000060332	1.98E-06	ssa14	25195417
ENSSSAG00000075819	3.17E-18	ssa14	25263085
ENSSSAG00000069305	0.0441297	ssa14	25398740
ENSSSAG00000057046	5.40E-13	ssa14	26246470
ENSSSAG00000112521	0.0430596	ssa14	26355808
ENSSSAG00000069246	0.00284764	ssa14	26356800
ENSSSAG00000085097	1.58E-07	ssa14	26363449
ENSSSAG00000075821	9.00E-07	ssa14	26785834
ENSSSAG00000079572	9.91E-38	ssa14	27456469
ENSSSAG00000054793	0.00431396	ssa14	27474767
ENSSSAG00000053000	0.0143247	ssa14	27474767
ENSSSAG00000081709	0.0187473	ssa14	27474767
ENSSSAG00000079146	1.40E-05	ssa14	27623989
ENSSSAG00000069860	2.86E-05	ssa14	27623989
ENSSSAG00000079671	1.67E-08	ssa14	28570310
ENSSSAG00000079678	0.000441661	ssa14	28682029
ENSSSAG00000092930	0.00594204	ssa14	28687058
ENSSSAG00000079687	1.31E-50	ssa14	28700582
ENSSSAG00000118842	0.00274962	ssa14	29108897
ENSSSAG00000075897	0.00774608	ssa14	29132954
ENSSSAG00000080329	1.31E-10	ssa14	29243670
ENSSSAG00000062851	9.37E-07	ssa14	29624665
ENSSSAG00000112299	2.43E-55	ssa14	30233220
ENSSSAG00000005739	0.0346051	ssa14	30233833
ENSSSAG00000048268	3.59E-08	ssa14	30313680
ENSSSAG00000080345	0.0329118	ssa14	30455447
ENSSSAG00000081704	0.00108083	ssa14	30624945
ENSSSAG00000004660	0.0194933	ssa14	30634074
ENSSSAG00000117947	0.00510525	ssa14	30636166
ENSSSAG00000073915	2.08E-05	ssa14	30744648
ENSSSAG00000075866	0.0127995	ssa14	31352248
ENSSSAG00000004750	0.000617697	ssa14	31585397
ENSSSAG00000039804	0.00176111	ssa14	31666390
ENSSSAG00000111657	0.00847604	ssa14	31744012
ENSSSAG00000081512	0.00244956	ssa14	32098252
ENSSSAG00000073668	0.00509645	ssa14	32109096
ENSSSAG00000091058	0.0113518	ssa14	32109096
ENSSSAG00000023545	0.0247316	ssa14	32109683
ENSSSAG00000092995	7.01E-09	ssa14	32457763
ENSSSAG00000104948	0.000147857	ssa14	32492631
ENSSSAG00000062880	0.000162602	ssa14	32492631
ENSSSAG00000081434	0.000454153	ssa14	32492631
ENSSSAG00000074236	7.75E-08	ssa14	32509606
ENSSSAG00000101138	9.94E-06	ssa14	32509606
ENSSSAG00000100121	0.00311313	ssa14	32509606
ENSSSAG00000073905	0.00375496	ssa14	32509606
ENSSSAG00000075151	0.0111588	ssa14	32509606
ENSSSAG00000067891	0.0363688	ssa14	32650820
ENSSSAG00000050900	1.52E-10	ssa14	33673843
ENSSSAG00000075562	5.22E-05	ssa14	33707838
ENSSSAG00000004626	0.00486253	ssa14	34013274
ENSSSAG00000075565	0.0278098	ssa14	34078277
ENSSSAG00000049361	3.32E-05	ssa14	34230028
ENSSSAG00000032035	0.000281328	ssa14	34230028
ENSSSAG00000004796	4.90E-12	ssa14	34247423
ENSSSAG00000115680	0.00185485	ssa14	34261063
ENSSSAG00000004931	4.33E-45	ssa14	34279240
ENSSSAG00000052798	7.31E-06	ssa14	34286301
ENSSSAG00000081655	0.00201144	ssa14	34291624
ENSSSAG00000040455	4.96E-08	ssa14	34349697
ENSSSAG00000080535	5.57E-07	ssa14	34349697
ENSSSAG00000079594	0.00181112	ssa14	34349697
ENSSSAG00000081269	0.0112294	ssa14	34349697
ENSSSAG00000073647	2.09E-06	ssa14	34351843
ENSSSAG00000102885	0.000235075	ssa14	34359657
ENSSSAG00000005762	0.0446816	ssa14	34399628
ENSSSAG00000006725	0.00218417	ssa14	34415997
ENSSSAG00000063987	0.0230515	ssa14	34538605
ENSSSAG00000080819	0.0342466	ssa14	34538605
ENSSSAG00000004286	1.87E-09	ssa14	34860574
ENSSSAG00000080497	0.0195136	ssa14	34868305
ENSSSAG00000049319	0.000776381	ssa14	35032876
ENSSSAG00000092386	3.68E-25	ssa14	35038761
ENSSSAG00000114516	3.26E-05	ssa14	35273645
ENSSSAG00000118161	0.0186455	ssa14	35429648
ENSSSAG00000007043	2.57E-06	ssa14	35500633
ENSSSAG00000050863	7.69E-09	ssa14	35514554
ENSSSAG00000067016	3.04E-05	ssa14	35623815
ENSSSAG00000048567	3.07E-09	ssa14	35683993
ENSSSAG00000093921	4.41E-09	ssa14	35691776
ENSSSAG00000048668	3.03E-05	ssa14	35849459
ENSSSAG00000079631	0.00552935	ssa14	35849459
ENSSSAG00000052554	1.59E-05	ssa14	35952777
ENSSSAG00000080823	0.000147379	ssa14	35952777
ENSSSAG00000102127	0.0108013	ssa14	35977329
ENSSSAG00000050997	2.46E-24	ssa14	36014394
ENSSSAG00000066389	0.0137526	ssa14	36017014
ENSSSAG00000057929	0.00110748	ssa14	36536193
ENSSSAG00000004389	0.000102614	ssa14	36556478
ENSSSAG00000094770	0.000212185	ssa14	36556478
ENSSSAG00000073907	0.0102397	ssa14	36556478
ENSSSAG00000057907	0.00271676	ssa14	36772103
ENSSSAG00000109327	0.0338244	ssa14	36772103
ENSSSAG00000092774	2.63E-08	ssa14	36829391
ENSSSAG00000073756	1.89E-05	ssa14	36829391
ENSSSAG00000050791	0.00954312	ssa14	36829391
ENSSSAG00000093808	6.78E-06	ssa14	37307417
ENSSSAG00000084735	0.000201318	ssa14	38058265
ENSSSAG00000084532	1.70E-35	ssa14	38079963
ENSSSAG00000007329	0.0248124	ssa14	38398055
ENSSSAG00000102159	1.27E-09	ssa14	38419604
ENSSSAG00000006254	0.046864	ssa14	38922305
ENSSSAG00000082475	0.0354423	ssa14	39324831
ENSSSAG00000065870	3.00E-11	ssa14	39336021
ENSSSAG00000065269	0.000426791	ssa14	39381230
ENSSSAG00000098465	6.49E-05	ssa14	39780221
ENSSSAG00000064905	0.000199998	ssa14	39958626
ENSSSAG00000080530	0.0202323	ssa14	40150889
ENSSSAG00000065165	0.00618488	ssa14	40158301
ENSSSAG00000080419	1.58E-08	ssa14	40168953
ENSSSAG00000105208	7.67E-07	ssa14	40168953
ENSSSAG00000114488	1.85E-06	ssa14	40168953
ENSSSAG00000087805	0.00211357	ssa14	40168953
ENSSSAG00000052778	0.0167658	ssa14	40168953
ENSSSAG00000081309	4.58E-10	ssa14	40168956
ENSSSAG00000047866	4.88E-09	ssa14	40168956
ENSSSAG00000005821	0.00798514	ssa14	40169364
ENSSSAG00000064729	7.25E-05	ssa14	40287262
ENSSSAG00000064886	0.0393124	ssa14	40287262
ENSSSAG00000104590	0.0419021	ssa14	40287262
ENSSSAG00000066084	0.00188934	ssa14	42277681
ENSSSAG00000110185	0.000278356	ssa14	42437897
ENSSSAG00000081012	2.62E-12	ssa14	42507621
ENSSSAG00000081183	1.67E-46	ssa14	42746754
ENSSSAG00000118614	9.46E-05	ssa14	43611078
ENSSSAG00000085471	0.000927623	ssa14	43651712
ENSSSAG00000082364	7.33E-11	ssa14	43698301
ENSSSAG00000103786	0.0382203	ssa14	43725183
ENSSSAG00000045632	0.0268856	ssa14	43850694
ENSSSAG00000055817	0.00406677	ssa14	44113015
ENSSSAG00000005839	0.000663994	ssa14	44119923
ENSSSAG00000067308	0.0103798	ssa14	44119923
ENSSSAG00000065364	0.0388958	ssa14	44119923
ENSSSAG00000094895	0.0356036	ssa14	44702900
ENSSSAG00000006998	1.05E-09	ssa14	46028780
ENSSSAG00000077763	2.32E-45	ssa14	46055398
ENSSSAG00000101262	0.0378148	ssa14	46237363
ENSSSAG00000064967	0.00390875	ssa14	46415621
ENSSSAG00000105984	0.0323231	ssa14	46702806
ENSSSAG00000074888	2.54E-07	ssa14	46750371
ENSSSAG00000087741	1.98E-10	ssa14	48000689
ENSSSAG00000005914	9.71E-06	ssa14	48000689
ENSSSAG00000074426	1.16E-05	ssa14	48000689
ENSSSAG00000039702	0.00127397	ssa14	48000689
ENSSSAG00000004963	5.50E-05	ssa14	48007951
ENSSSAG00000040033	0.000451754	ssa14	48007951
ENSSSAG00000091315	1.10E-08	ssa14	48030831
ENSSSAG00000039937	9.90E-05	ssa14	48030831
ENSSSAG00000086785	0.000235079	ssa14	48030831
ENSSSAG00000005868	0.000968417	ssa14	48030831
ENSSSAG00000115585	5.42E-23	ssa14	48113091
ENSSSAG00000058499	0.000201127	ssa14	48482069
ENSSSAG00000004590	0.00720925	ssa14	48488679
ENSSSAG00000005854	0.00436492	ssa14	49553986
ENSSSAG00000120062	0.0151397	ssa14	50091916
ENSSSAG00000006051	2.77E-06	ssa14	50820817
ENSSSAG00000007619	0.000180027	ssa14	50820817
ENSSSAG00000102794	4.48E-14	ssa14	50863868
ENSSSAG00000078182	2.72E-07	ssa14	50870510
ENSSSAG00000110063	1.95E-06	ssa14	50870510
ENSSSAG00000005944	0.000255828	ssa14	50870510
ENSSSAG00000009665	1.23E-12	ssa14	50871630
ENSSSAG00000004608	1.31E-09	ssa14	50887410
ENSSSAG00000004575	0.000122615	ssa14	50887410
ENSSSAG00000121553	0.0126974	ssa14	50887840
ENSSSAG00000118160	0.0167755	ssa14	50937127
ENSSSAG00000102193	1.44E-06	ssa14	51080591
ENSSSAG00000032861	1.67E-07	ssa14	51352967
ENSSSAG00000074900	5.68E-08	ssa14	51354372
ENSSSAG00000074047	0.00181556	ssa14	51354372
ENSSSAG00000040163	0.00184374	ssa14	51354372
ENSSSAG00000010340	4.64E-10	ssa14	51370830
ENSSSAG00000007059	1.95E-06	ssa14	51370830
ENSSSAG00000055927	0.00270921	ssa14	51370830
ENSSSAG00000090866	0.0303536	ssa14	51370830
ENSSSAG00000005903	0.0337233	ssa14	51370830
ENSSSAG00000110039	0.00500185	ssa14	51413646
ENSSSAG00000042880	0.0227971	ssa14	51413646
ENSSSAG00000006268	2.01E-05	ssa14	54789518
ENSSSAG00000005764	2.72E-06	ssa14	54793812
ENSSSAG00000077793	1.14E-05	ssa14	54793812
ENSSSAG00000073807	1.35E-05	ssa14	56008222
ENSSSAG00000006824	0.00288053	ssa14	56008222
ENSSSAG00000085981	0.0150957	ssa14	56008222
ENSSSAG00000006077	0.00656392	ssa14	56922714
ENSSSAG00000039591	0.0284926	ssa14	56978647
ENSSSAG00000005923	0.0136207	ssa14	57070037
ENSSSAG00000004448	0.00251585	ssa14	57130633
ENSSSAG00000054211	1.36E-10	ssa14	57131797
ENSSSAG00000085999	1.02E-05	ssa14	57131797
ENSSSAG00000073938	6.44E-05	ssa14	57131797
ENSSSAG00000008762	0.000408191	ssa14	57131797
ENSSSAG00000072561	0.000775501	ssa14	57131797
ENSSSAG00000074873	0.00100879	ssa14	57131797
ENSSSAG00000006316	0.00270423	ssa14	57131797
ENSSSAG00000078450	0.0124834	ssa14	57131797
ENSSSAG00000006602	0.0263549	ssa14	57168737
ENSSSAG00000006003	0.00259649	ssa14	57200617
ENSSSAG00000005928	0.0158104	ssa14	57352015
ENSSSAG00000112416	7.75E-06	ssa14	57956322
ENSSSAG00000063086	0.0205499	ssa14	58024214
ENSSSAG00000097561	0.00199065	ssa14	58429887
ENSSSAG00000005912	0.000833909	ssa14	58669372
ENSSSAG00000069235	0.0389113	ssa14	58923529
ENSSSAG00000087363	2.40E-08	ssa14	59564547
ENSSSAG00000009699	1.45E-05	ssa14	59564547
ENSSSAG00000093392	8.32E-14	ssa14	59564853
ENSSSAG00000121603	0.0166086	ssa14	59564853
ENSSSAG00000040723	4.77E-20	ssa14	59576057
ENSSSAG00000040701	7.08E-15	ssa14	59576057
ENSSSAG00000005895	8.76E-10	ssa14	59895301
ENSSSAG00000113384	1.47E-07	ssa14	59897236
ENSSSAG00000062937	1.92E-06	ssa14	59897236
ENSSSAG00000113532	0.00505941	ssa14	60915959
ENSSSAG00000005805	0.0204071	ssa14	61198739
ENSSSAG00000039726	0.045133	ssa14	61198740
ENSSSAG00000107075	0.0319921	ssa14	61315875
ENSSSAG00000039916	0.00143047	ssa14	61501007
ENSSSAG00000004354	0.00137337	ssa14	61567996
ENSSSAG00000040389	0.000843772	ssa14	61567997
ENSSSAG00000073889	0.0499193	ssa14	61567997
ENSSSAG00000039293	1.64E-27	ssa14	62230285
ENSSSAG00000093386	1.80E-09	ssa14	62230285
ENSSSAG00000042614	0.00476807	ssa14	62787046
ENSSSAG00000073639	5.66E-17	ssa14	63403856
ENSSSAG00000073628	2.21E-15	ssa14	63403856
ENSSSAG00000063050	0.013312	ssa14	63721052
ENSSSAG00000066357	0.0264604	ssa14	63865173
ENSSSAG00000073819	1.47E-34	ssa14	64171098
ENSSSAG00000094685	1.03E-25	ssa14	64171098
ENSSSAG00000062822	3.25E-19	ssa14	64171098
ENSSSAG00000005580	4.87E-08	ssa14	64171098
ENSSSAG00000043026	0.00302623	ssa14	64175312
ENSSSAG00000069679	3.80E-26	ssa14	64197292
ENSSSAG00000073828	0.00011171	ssa14	64197292
ENSSSAG00000066297	4.59E-09	ssa14	64224840
ENSSSAG00000066358	2.93E-05	ssa14	64224840
ENSSSAG00000005253	0.0244785	ssa14	64241005
ENSSSAG00000039318	5.84E-07	ssa14	64282727
ENSSSAG00000073865	0.0128757	ssa14	64343830
ENSSSAG00000106198	1.84E-14	ssa14	64460784
ENSSSAG00000040874	6.17E-10	ssa14	64460784
ENSSSAG00000041842	2.53E-15	ssa14	64465510
ENSSSAG00000097363	0.00090728	ssa14	64468332
ENSSSAG00000074195	2.37E-05	ssa14	65079692
ENSSSAG00000007467	1.25E-05	ssa14	65149390
ENSSSAG00000091558	0.00013272	ssa14	65149390
ENSSSAG00000069437	0.00525157	ssa14	65149390
ENSSSAG00000048880	0.00437971	ssa14	65389162
ENSSSAG00000107672	1.61E-56	ssa14	65402386
ENSSSAG00000049929	7.63E-14	ssa14	65445246
ENSSSAG00000097414	6.59E-12	ssa14	65453385
ENSSSAG00000005666	6.82E-06	ssa14	65504018
ENSSSAG00000121069	0.00698536	ssa14	65708562
ENSSSAG00000062505	0.00574241	ssa14	65725293
ENSSSAG00000070807	8.20E-14	ssa14	66029159
ENSSSAG00000063173	6.95E-07	ssa14	66299546
ENSSSAG00000042837	0.0156147	ssa14	66299546
ENSSSAG00000004697	0.00658897	ssa14	66307273
ENSSSAG00000084517	0.00432808	ssa14	66411746
ENSSSAG00000071557	0.0161067	ssa14	66955223
ENSSSAG00000004747	2.43E-05	ssa14	67000194
ENSSSAG00000008220	4.49E-05	ssa14	67000194
ENSSSAG00000067873	0.000212038	ssa14	67000194
ENSSSAG00000112471	0.000539598	ssa14	67000194
ENSSSAG00000068313	0.000551565	ssa14	67000194
ENSSSAG00000008413	0.00299096	ssa14	67000194
ENSSSAG00000005008	0.00328754	ssa14	67000194
ENSSSAG00000008194	0.0039037	ssa14	67000194
ENSSSAG00000096573	1.06E-28	ssa14	67034981
ENSSSAG00000048859	0.0136839	ssa14	67041428
ENSSSAG00000006557	0.00142748	ssa14	67055502
ENSSSAG00000006563	0.0013186	ssa14	67109802
ENSSSAG00000092230	3.11E-05	ssa14	67170465
ENSSSAG00000004476	1.05E-09	ssa14	67185949
ENSSSAG00000109876	7.09E-10	ssa14	67191177
ENSSSAG00000110695	0.000119257	ssa14	67203628
ENSSSAG00000093139	0.00922676	ssa14	67215805
ENSSSAG00000049592	1.01E-11	ssa14	67244423
ENSSSAG00000070898	0.00642729	ssa14	67244423
ENSSSAG00000074408	0.0422338	ssa14	67244423
ENSSSAG00000041924	3.58E-06	ssa14	67253836
ENSSSAG00000065972	0.00217248	ssa14	67253836
ENSSSAG00000004534	0.0220889	ssa14	67253836
ENSSSAG00000066338	0.0193428	ssa14	67360367
ENSSSAG00000004380	0.00491676	ssa14	67367161
ENSSSAG00000049737	0.00452884	ssa14	69035645
ENSSSAG00000004407	0.000191567	ssa14	69135006
ENSSSAG00000005597	0.00230777	ssa14	69135006
ENSSSAG00000006615	2.51E-22	ssa14	69372973
ENSSSAG00000006673	9.72E-34	ssa14	69388711
ENSSSAG00000109532	2.15E-09	ssa14	69388711
ENSSSAG00000005545	7.60E-09	ssa14	69388711
ENSSSAG00000006649	5.94E-08	ssa14	69388711
ENSSSAG00000106788	0.0479172	ssa14	69388711
ENSSSAG00000056458	0.0186675	ssa14	70054844
ENSSSAG00000069495	0.0155362	ssa14	70323037
ENSSSAG00000102280	0.0153303	ssa14	70695912
ENSSSAG00000009298	1.25E-36	ssa14	70766241
ENSSSAG00000106126	0.0171012	ssa14	70786731
ENSSSAG00000005212	8.64E-11	ssa14	70832393
ENSSSAG00000105935	0.0491066	ssa14	70926317
ENSSSAG00000089283	0.000145768	ssa14	71213609
ENSSSAG00000068368	0.046436	ssa14	71289120
ENSSSAG00000055947	0.000160261	ssa14	71335079
ENSSSAG00000007174	0.00217407	ssa14	71335079
ENSSSAG00000108939	0.000124032	ssa14	71894215
ENSSSAG00000007125	8.69E-05	ssa14	72205547
ENSSSAG00000007141	0.00294986	ssa14	72566186
ENSSSAG00000008208	0.0290211	ssa14	72740988
ENSSSAG00000118672	0.0082018	ssa14	72889650
ENSSSAG00000087662	0.0193856	ssa14	72968176
ENSSSAG00000074843	2.63E-05	ssa14	73529905
ENSSSAG00000073649	0.000807575	ssa14	73529905
ENSSSAG00000074839	0.00391453	ssa14	73529905
ENSSSAG00000008556	0.00727061	ssa14	73529905
ENSSSAG00000073194	0.0367365	ssa14	73529905
ENSSSAG00000056015	0.0415793	ssa14	73529905
ENSSSAG00000068816	0.0183885	ssa14	73533899
ENSSSAG00000056035	0.0242109	ssa14	73533899
ENSSSAG00000055800	3.85E-05	ssa14	73534354
ENSSSAG00000109998	0.00425549	ssa14	77129514
ENSSSAG00000096594	0.0260186	ssa14	77621925
ENSSSAG00000083866	2.83E-31	ssa14	78030731
ENSSSAG00000106306	7.42E-27	ssa14	78030731
ENSSSAG00000082961	0.00965199	ssa14	78210471
ENSSSAG00000044178	6.15E-08	ssa14	78264111
ENSSSAG00000026601	0.000145406	ssa14	78264111
ENSSSAG00000044281	0.000609333	ssa14	78264111
ENSSSAG00000068663	0.00573699	ssa14	78264111
ENSSSAG00000073498	1.03E-17	ssa14	78265530
ENSSSAG00000009802	0.00699649	ssa14	78265530
ENSSSAG00000049015	0.000730679	ssa14	78439950
ENSSSAG00000088706	0.003466	ssa14	78439950
ENSSSAG00000073707	2.43E-05	ssa14	78483238
ENSSSAG00000073221	0.00417731	ssa14	78536582
ENSSSAG00000082133	2.62E-22	ssa14	78576995
ENSSSAG00000073202	0.00431762	ssa14	78647196
ENSSSAG00000009702	0.0362401	ssa14	79148767
ENSSSAG00000009766	0.000505162	ssa14	79158373
ENSSSAG00000020652	5.49E-06	ssa14	79194006
ENSSSAG00000018117	0.000399706	ssa14	79222466
ENSSSAG00000057888	0.000145602	ssa14	80446627
ENSSSAG00000023617	0.00116117	ssa14	80446627
ENSSSAG00000047067	0.00247942	ssa14	80446627
ENSSSAG00000074847	0.00873304	ssa14	80446627
ENSSSAG00000014980	0.00925533	ssa14	80451452
ENSSSAG00000073627	0.0498158	ssa14	80471751
ENSSSAG00000073623	0.0103115	ssa14	80649035
ENSSSAG00000008572	0.0439089	ssa14	80649035
ENSSSAG00000083966	0.0465094	ssa14	80999002
ENSSSAG00000046861	5.09E-45	ssa14	81188553
ENSSSAG00000046914	1.80E-06	ssa14	81212967
ENSSSAG00000058816	1.92E-05	ssa14	81490827
ENSSSAG00000042278	0.00284878	ssa14	81892618
ENSSSAG00000023344	2.15E-61	ssa14	81910522
ENSSSAG00000047602	1.30E-24	ssa14	81971915
ENSSSAG00000084152	0.0262255	ssa14	82224264
ENSSSAG00000065080	5.66E-05	ssa14	82332710
ENSSSAG00000048365	1.36E-07	ssa14	83186468
ENSSSAG00000048870	0.0116111	ssa14	83402462
ENSSSAG00000046988	0.00658979	ssa14	84947328
ENSSSAG00000040587	0.0210288	ssa14	85130191
ENSSSAG00000055623	1.24E-05	ssa14	85147454
ENSSSAG00000093638	1.04E-08	ssa14	85149922
ENSSSAG00000097270	0.0117112	ssa14	85226178
ENSSSAG00000058382	2.93E-22	ssa14	85237125
ENSSSAG00000118689	0.00909085	ssa14	85238959
ENSSSAG00000046480	0.00774915	ssa14	85243167
ENSSSAG00000111781	0.0325441	ssa14	85385303
ENSSSAG00000102742	2.14E-39	ssa14	86372527
ENSSSAG00000064768	0.00759927	ssa14	87928335
ENSSSAG00000081026	0.0158673	ssa14	88079942
ENSSSAG00000103521	0.0241949	ssa14	88098564
ENSSSAG00000054183	0.00140932	ssa14	90925966
ENSSSAG00000052371	0.00589557	ssa14	90925966
ENSSSAG00000110341	0.0356884	ssa14	90936587
ENSSSAG00000083734	2.96E-10	ssa14	91136593
ENSSSAG00000082275	0.00386597	ssa14	91136593
ENSSSAG00000065214	0.0192918	ssa14	91136593
ENSSSAG00000053656	5.34E-16	ssa14	91277476
ENSSSAG00000091499	1.05E-06	ssa14	91942639
ENSSSAG00000054882	2.39E-05	ssa14	91942738
ENSSSAG00000054108	0.00272633	ssa14	92126565
ENSSSAG00000115433	1.98E-05	ssa14	92162106
ENSSSAG00000095682	0.0367803	ssa14	92163897
ENSSSAG00000080354	4.70E-06	ssa14	92919488
ENSSSAG00000085335	0.0409779	ssa14	93299973
ENSSSAG00000071496	0.00870789	ssa14	93331096
ENSSSAG00000118805	9.80E-06	ssa14	93754519
ENSSSAG00000055524	1.18E-11	ssa14	94254301
ENSSSAG00000055024	0.00642252	ssa14	94254301
ENSSSAG00000056150	0.00395175	ssa14	94269078
ENSSSAG00000106884	0.0327399	ssa14	94281887
ENSSSAG00000051784	5.34E-10	ssa14	94295517
ENSSSAG00000101103	2.76E-21	ssa14	94308466
ENSSSAG00000119433	9.11E-09	ssa14	94329576
ENSSSAG00000065107	1.44E-05	ssa14	94355690
ENSSSAG00000055015	1.08E-05	ssa14	94488813
ENSSSAG00000080525	5.00E-08	ssa14	94519233
ENSSSAG00000092642	7.73E-08	ssa14	94581896
ENSSSAG00000055154	7.27E-10	ssa14	95087326
ENSSSAG00000055028	0.00376609	ssa14	96609300
ENSSSAG00000093074	0.0499407	ssa14	99228426
ENSSSAG00000041324	1.58E-16	ssa14	99988847
ENSSSAG00000066143	1.36E-05	ssa14	100000457
ENSSSAG00000041596	0.00105082	ssa14	101447051
ENSSSAG00000042061	2.44E-19	ssa14	101464646
ENSSSAG00000098746	3.30E-77	ssa14	101490179
ENSSSAG00000110171	0.0023032	ssa15	1157809
ENSSSAG00000120408	0.000959713	ssa15	1489389
ENSSSAG00000045631	0.00703647	ssa15	1496927
ENSSSAG00000045422	0.0220728	ssa15	1613029
ENSSSAG00000121927	0.0012682	ssa15	2228066
ENSSSAG00000094394	7.57E-05	ssa15	2383466
ENSSSAG00000111030	0.000552874	ssa15	2469540
ENSSSAG00000041246	1.09E-05	ssa15	2987107
ENSSSAG00000041130	0.00740561	ssa15	3035402
ENSSSAG00000099953	0.0264051	ssa15	3354101
ENSSSAG00000094971	7.90E-09	ssa15	3496686
ENSSSAG00000121417	0.00480024	ssa15	3753724
ENSSSAG00000041143	0.0342702	ssa15	3753724
ENSSSAG00000073808	0.000654148	ssa15	3775485
ENSSSAG00000106328	1.43E-06	ssa15	3798687
ENSSSAG00000042992	0.0162207	ssa15	3843327
ENSSSAG00000090231	0.0111887	ssa15	4078256
ENSSSAG00000074271	1.89E-24	ssa15	4223794
ENSSSAG00000049554	4.40E-12	ssa15	4237223
ENSSSAG00000040064	0.00747535	ssa15	4531456
ENSSSAG00000039752	1.29E-12	ssa15	4667749
ENSSSAG00000112001	9.69E-10	ssa15	4672148
ENSSSAG00000118638	2.09E-07	ssa15	4672148
ENSSSAG00000074288	0.0145054	ssa15	5773278
ENSSSAG00000074299	0.00879216	ssa15	5875053
ENSSSAG00000104746	8.26E-06	ssa15	6057372
ENSSSAG00000053860	2.28E-26	ssa15	6324401
ENSSSAG00000044965	3.58E-09	ssa15	9890523
ENSSSAG00000103704	5.17E-06	ssa15	9890523
ENSSSAG00000043329	1.39E-05	ssa15	9990506
ENSSSAG00000109443	1.42E-13	ssa15	10239812
ENSSSAG00000097093	0.0204702	ssa15	10277210
ENSSSAG00000103177	8.84E-05	ssa15	10497482
ENSSSAG00000088976	2.51E-08	ssa15	11532401
ENSSSAG00000039347	7.59E-06	ssa15	11533132
ENSSSAG00000044999	0.0146992	ssa15	11603716
