"gene1" "gene2" "ID" "regulation_0" "Common_SNP_0" "regulation_0.05" "Common_SNP_0.05" "regulation_0.1" "Common_SNP_0.1" "regulation_0.15" "Common_SNP_0.15" "regulation_0.2" "Common_SNP_0.2" "regulation_0.25" "Common_SNP_0.25" "regulation_0.3" "Common_SNP_0.3" "regulation_0.35" "Common_SNP_0.35" "regulation_0.4" "Common_SNP_0.4" "regulation_0.45" "Common_SNP_0.45" "regulation_0.5" "Common_SNP_0.5" "regulation_0.55" "Common_SNP_0.55" "regulation_0.6" "Common_SNP_0.6" "regulation_0.65" "Common_SNP_0.65" "regulation_0.7" "Common_SNP_0.7" "regulation_0.75" "Common_SNP_0.75" "regulation_0.8" "Common_SNP_0.8" "regulation_0.85" "Common_SNP_0.85" "regulation_0.9" "Common_SNP_0.9" "regulation_0.95" "Common_SNP_0.95" "regulation_1" "Common_SNP_1"
"ENSSSAG00000048667" "ENSSSAG00000068916" "ENSSSAG00000048667_Ssal_ENSSSAG00000068916_Ssal" "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA
"ENSSSAG00000034983" "ENSSSAG00000080660" "ENSSSAG00000034983_Ssal_ENSSSAG00000080660_Ssal" "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000111955" "ENSSSAG00000099338" "ENSSSAG00000099338_Ssal_ENSSSAG00000111955_Ssal" "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA
"ENSSSAG00000098337" "ENSSSAG00000109665" "ENSSSAG00000098337_Ssal_ENSSSAG00000109665_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000102378" "ENSSSAG00000101629" "ENSSSAG00000101629_Ssal_ENSSSAG00000102378_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000096103" "ENSSSAG00000079441" "ENSSSAG00000079441_Ssal_ENSSSAG00000096103_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000065765" "ENSSSAG00000111578" "ENSSSAG00000065765_Ssal_ENSSSAG00000111578_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000094740" "ENSSSAG00000104188" "ENSSSAG00000094740_Ssal_ENSSSAG00000104188_Ssal" "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA
"ENSSSAG00000078788" "ENSSSAG00000062822" "ENSSSAG00000062822_Ssal_ENSSSAG00000078788_Ssal" "Shared eQTL" "ssa14_35969856" "Distinct eQTL" NA "Distinct eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA
"ENSSSAG00000069469" "ENSSSAG00000072204" "ENSSSAG00000069469_Ssal_ENSSSAG00000072204_Ssal" "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000045601" "ENSSSAG00000059509" "ENSSSAG00000045601_Ssal_ENSSSAG00000059509_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000085827" "ENSSSAG00000002027" "ENSSSAG00000002027_Ssal_ENSSSAG00000085827_Ssal" "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000091389" "ENSSSAG00000002242" "ENSSSAG00000002242_Ssal_ENSSSAG00000091389_Ssal" "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA
"ENSSSAG00000087269" "ENSSSAG00000090820" "ENSSSAG00000087269_Ssal_ENSSSAG00000090820_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000045506" "ENSSSAG00000002035" "ENSSSAG00000002035_Ssal_ENSSSAG00000045506_Ssal" "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "No eQTL" NA
"ENSSSAG00000004671" "ENSSSAG00000070521" "ENSSSAG00000004671_Ssal_ENSSSAG00000070521_Ssal" "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA
"ENSSSAG00000071407" "ENSSSAG00000070228" "ENSSSAG00000070228_Ssal_ENSSSAG00000071407_Ssal" "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA
"ENSSSAG00000067243" "ENSSSAG00000077443" "ENSSSAG00000067243_Ssal_ENSSSAG00000077443_Ssal" "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA
"ENSSSAG00000112326" "ENSSSAG00000084724" "ENSSSAG00000084724_Ssal_ENSSSAG00000112326_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000041484" "ENSSSAG00000066437" "ENSSSAG00000041484_Ssal_ENSSSAG00000066437_Ssal" "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA
"ENSSSAG00000086124" "ENSSSAG00000089135" "ENSSSAG00000086124_Ssal_ENSSSAG00000089135_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000031669" "ENSSSAG00000010321" "ENSSSAG00000010321_Ssal_ENSSSAG00000031669_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000078444" "ENSSSAG00000081015" "ENSSSAG00000078444_Ssal_ENSSSAG00000081015_Ssal" "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA
"ENSSSAG00000074486" "ENSSSAG00000006176" "ENSSSAG00000006176_Ssal_ENSSSAG00000074486_Ssal" "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA
"ENSSSAG00000097025" "ENSSSAG00000066075" "ENSSSAG00000066075_Ssal_ENSSSAG00000097025_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000056044" "ENSSSAG00000059321" "ENSSSAG00000056044_Ssal_ENSSSAG00000059321_Ssal" "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA
"ENSSSAG00000048615" "ENSSSAG00000040425" "ENSSSAG00000040425_Ssal_ENSSSAG00000048615_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000113883" "ENSSSAG00000050924" "ENSSSAG00000050924_Ssal_ENSSSAG00000113883_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000073576" "ENSSSAG00000076488" "ENSSSAG00000073576_Ssal_ENSSSAG00000076488_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000071303" "ENSSSAG00000117668" "ENSSSAG00000071303_Ssal_ENSSSAG00000117668_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000104292" "ENSSSAG00000045948" "ENSSSAG00000045948_Ssal_ENSSSAG00000104292_Ssal" "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA
"ENSSSAG00000016214" "ENSSSAG00000081374" "ENSSSAG00000016214_Ssal_ENSSSAG00000081374_Ssal" "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Single copy eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000044860" "ENSSSAG00000053889" "ENSSSAG00000044860_Ssal_ENSSSAG00000053889_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000098545" "ENSSSAG00000057686" "ENSSSAG00000057686_Ssal_ENSSSAG00000098545_Ssal" "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000115473" "ENSSSAG00000065648" "ENSSSAG00000065648_Ssal_ENSSSAG00000115473_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000077151" "ENSSSAG00000065070" "ENSSSAG00000065070_Ssal_ENSSSAG00000077151_Ssal" "Shared eQTL" "ssa14_51354372" "Shared eQTL" "ssa14_51370830" "Shared eQTL" "ssa14_51354372" "Shared eQTL" "ssa14_51354372" "Shared eQTL" "ssa14_51370830" "Shared eQTL" "ssa14_51354372" "Shared eQTL" "ssa14_51354372" "Shared eQTL" "ssa14_51370830" "Shared eQTL" "ssa14_51354372" "Shared eQTL" "ssa14_51370830" "Shared eQTL" "ssa14_51370830" "Shared eQTL" "ssa14_51370830" "Shared eQTL" "ssa14_51370830" "Shared eQTL" "ssa14_51370830" "Shared eQTL" "ssa14_51370830" "Shared eQTL" "ssa14_51354372" "Shared eQTL" "ssa14_51370830" "Shared eQTL" "ssa14_51370830" "Shared eQTL" "ssa14_51370830" "Shared eQTL" "ssa14_51370830" "Shared eQTL" "ssa14_51354372"
"ENSSSAG00000007418" "ENSSSAG00000092250" "ENSSSAG00000007418_Ssal_ENSSSAG00000092250_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000000161" "ENSSSAG00000048605" "ENSSSAG00000000161_Ssal_ENSSSAG00000048605_Ssal" "Single copy eQTL" NA "Single copy eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000079420" "ENSSSAG00000007146" "ENSSSAG00000007146_Ssal_ENSSSAG00000079420_Ssal" "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA
"ENSSSAG00000102553" "ENSSSAG00000121158" "ENSSSAG00000102553_Ssal_ENSSSAG00000121158_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000049754" "ENSSSAG00000003237" "ENSSSAG00000003237_Ssal_ENSSSAG00000049754_Ssal" "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000065887" "ENSSSAG00000119892" "ENSSSAG00000065887_Ssal_ENSSSAG00000119892_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000115557" "ENSSSAG00000119938" "ENSSSAG00000115557_Ssal_ENSSSAG00000119938_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000085660" "ENSSSAG00000102929" "ENSSSAG00000085660_Ssal_ENSSSAG00000102929_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000058121" "ENSSSAG00000067957" "ENSSSAG00000058121_Ssal_ENSSSAG00000067957_Ssal" "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA "Distinct eQTL" NA
"ENSSSAG00000110736" "ENSSSAG00000056600" "ENSSSAG00000056600_Ssal_ENSSSAG00000110736_Ssal" "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000059710" "ENSSSAG00000052119" "ENSSSAG00000052119_Ssal_ENSSSAG00000059710_Ssal" "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA "No eQTL" NA
"ENSSSAG00000094464" "ENSSSAG00000086608" "ENSSSAG00000086608_Ssal_ENSSSAG00000094464_Ssal" "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA "Single copy eQTL" NA
